Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
Asia Pacific & Europe (excl UK),24-Jun-14,18-Sep-14,86,Model S 85,7100,81.6,391,No,7100,87,215,400,never,never,never,,19.92
Asia Pacific & Europe (excl UK),18-Nov-13,18-Sep-14,304,Model S 85,35000,114.8,381,No,35000,305,224,400,never,never,never,,103.64
Asia Pacific & Europe (excl UK),21-Nov-13,18-Sep-14,301,Unspecified 85 kWh,27000,89.4,381,No,27000,302,229,400,twice a month,twice a month,once or twice a year,,81.33
Asia Pacific & Europe (excl UK),26-Nov-13,18-Sep-14,296,Model S P85,47352,159.4,377,No,47352,297,218,400,twice a month,twice a month,once or twice a year,90%,136.32
Asia Pacific & Europe (excl UK),10-Sep-13,19-Sep-14,374,Model S P85,67000,178.7,385,No,67000,375,220,400,twice a month,daily,once or twice a year,100%,193.84
Asia Pacific & Europe (excl UK),13-Mar-14,19-Sep-14,190,Model S P85+,14977,78.4,395,No,14977,191,245,400,twice a month,twice a month,a few times a year,,47.41
Asia Pacific & Europe (excl UK),16-Aug-14,20-Sep-14,35,Model S P85,3434,95.4,394,No,3434,36,224,400,never,weekly,never,,9.95
Asia Pacific & Europe (excl UK),31-Dec-13,21-Sep-14,264,Model S P85,46000,173.6,381,No,46000,265,227,400,weekly,weekly,once or twice a year,,137.35
Asia Pacific & Europe (excl UK),23-Nov-13,21-Sep-14,302,Model S 60,14995,49.5,284,No,14995,303,207,289,a few times a year,a few times a year,once or twice a year,,53.27
Asia Pacific & Europe (excl UK),13-Nov-13,22-Sep-14,313,Model S P85,16045,51.1,383,No,16045,314,200,400,never,never,never,,42.32
Asia Pacific & Europe (excl UK),6-Nov-13,22-Sep-14,320,Model S 85,30650,95.5,383,No,30650,321,207,400,once or twice a year,monthly,never,,83.24
Asia Pacific & Europe (excl UK),12-Dec-13,23-Sep-14,285,Unspecified 85 kWh,22850,79.9,385,No,22850,286,249,400,monthly,twice a month,never,,74.46
Asia Pacific & Europe (excl UK),28-May-14,24-Sep-14,119,Model S 85,6053,50.4,392,No,6053,120,216,400,once or twice a year,monthly,once or twice a year,,16.94
